LANGUAGE,"English","French","Spanish","Italian"


STR_M09_Name,"Convoy Attack","Attaque de convoi","Ataque al convoy","Attacco al convoglio"
STRD_M09_OnLoad,"Attack the Convoy","Attaquer le convoi","Ataca el convoy","Attacca il convoglio"
STRD_M09_Desc,"Attack the Convoy","Attaquer le convoi","Ataca el convoy","Attacca il convoglio"
STR_M09_FAR_2,"Lost in enemy territory","Perdu en territoire ennemi","Perdido en territorio enemigo","Perso in territorio nemico"
STR_M09_END_1,"Mission completed","Mission accomplie","Misión cumplida","Missione completata"
STR_M09_END_2,"Mission failed\nConvoy reached the city","Échec de la mission\nLe convoi a rejoint la ville.","La misión ha fracasado\nEl convoy ha llegado a la ciudad","Missione fallita\nIl convoglio ha raggiunto la città."
STR_M09n20,"Insertion point","Point d'insertion","Punto de inserción","Punto d’inserzione"
STR_M09n21,"The convoy","Convoi","El convoy","Il convoglio"
STR_M09n23,"THE CONVOY","CONVOI","EL CONVOY","IL CONVOGLIO"
STR_M09n24,"THE BASE","BASE","LA BASE","LA BASE"
STR_M09n40,"Heliport","Héliport","Helipuerto","Eliporto"
STR_M09w1,"Get in the chopper","Monter dans l'hélico","Entra en el helicóptero","Sali sull’elicottero"
STR_M09w2,"Destroy the convoy","Détruire le convoi","Destruye el convoy","Distruggi il convoglio"
STR_M09w3,"Fly back to airport","Regagner l'aéroport","Vuelve al aeuropuerto","Torna all’aeroporto"
