LANGUAGE,"English","French","Spanish","Italian"


STR_M05_Name,"Sanitary Operation","Nettoyage","Operación de saneamiento","Operazione di pulizia"
STR_M05_OnLoad,"Secure the area","Nettoyer la zone","Asegura la zona","Ripulisci l’area"
STR_M05_Desc,"Secure the area","Nettoyer la zone","Asegura la zona","Ripulisci l’area"
STR_END_1,"Mission completed","Mission accomplie","Misión cumplida","Missione completata"
STR_END_2,"Completed","Exécuté","Completada","Completata"
STR_M05n10,"Insertion point","Point d'insertion","Punto de inserción","Punto d’inserzione"
STR_M05n11,"Seize the city","S'emparer de la ville","Toma la ciudad","Prendi la città"
STR_M05n12,"Meeting point","Point de jonction","Punto de encuentro","Punto d’incontro"
STR_M05n24,"MEETING POINT","POINT DE JONCTION","PUNTO DE ENCUENTRO","PUNTO D’INCONTRO"
