LANGUAGE,"English","French","Spanish","Italian"


STR_M08_NAME,"Unsurrounding","Dégagement","Sin rodeos","Togliere l’assedio"
STR_M08_OnLoad,"Road to hell","La route de l'enfer","Camino al infierno","Strada per l’inferno"
STR_M08h01,"Order to driver to move to next waypoint.","Ordonner au conducteur de rejoindre le point de passage suivant","Ordénale al conductor que vaya al siguiente punto de referencia.","Ordina al guidatore di raggiungere il punto di passaggio successivo."
STR_M08h02,"Loading ammo...","Chargement des munitions...","Cargando munición...","Caricamento munizioni in corso..."
STR_M08h03,"First camp has been destroyed. Search for more.","Le premier campement a été détruit. Il faut rechercher les autres.","El primer campamento ha sido destruido. Busca más.","Il primo campo è stato distrutto. Cercane altri."
STR_M08w01,"CLEAN THE ENEMY CAMP 1","NETTOYER LE CAMP 1 ENNEMI","LIMPIA EL CAMPAMENTO ENEMIGO 1","RIPULISCI IL CAMPO NEMICO 1"
STR_M08w02,"CLEAN 2ND ENEMY CAMP","NETTOYER LE CAMP 2 ENNEMI","LIMPIA EL SEGUNDO CAMPAMENTO ENEMIGO","RIPULISCI IL CAMPO NEMICO 2"
STR_M08w03,"CLEAN THE ENEMY CAMP 3","NETTOYER LE CAMP 3 ENNEMI","LIMPIA EL CAMPAMENTO ENEMIGO 3","RIPULISCI IL CAMPO NEMICO 3"
STR_M08w04,"BACK ON THE ROAD","REPRENDRE LA ROUTE","DE VUELTA AL CAMINO","RITORNA SULLA STRADA"
STR_M08w05,"TO DOLORES","VERS VOLORES","A DOLORES","VERSO DOLORES"
STR_M08m01,"HIDDEN CAMPS","CAMPS CACHÉS","CAMPAMENTOS OCULTOS","CAMPI NASCOSTI"
STR_M08m02,"AMMO","MUNITIONS","MUNICIÓN","MUNIZIONI"
STR_M08m03,"ENEMY CAMP 1","CAMP 1 ENNEMI","CAMPAMENTO ENEMIGO 1","CAMPO NEMICO 1"
STR_M08m04,"ENEMY CAMP 2","CAMP 2 ENNEMI","CAMPAMENTO ENEMIGO 2","CAMPO NEMICO 2"
STR_M08m05,"ENEMY CAMP 3","CAMP 3 ENNEMI","CAMPAMENTO ENEMIGO 3","CAMPO NEMICO 3"
STR_M08m06,"Garages","Garages","Garajes","Garage"
