LANGUAGE,"English","French","Spanish","Italian"


STRC_04n01a,"Somato","Somato","Somato","Somato"
STRC_04n02,"US Army Stryker Squad Rifleman\n2nd Squad - 3rd Platoon - Bravo Company","US Army, fusilier de groupe Stryker\n2e groupe - 3e section - compagnie Bravo","Stryker del ejército de EE.UU, fusilero del pelotón\n2º pelotón – sección 3ª – Compañía Bravo","Esercito USA, fuciliere squadra Stryker\n2ª squadra, 3º plotone, compagnia Bravo"
STRC_04r01,"FOXTROT, SECURE THE OBJECTIVE STAT. GET YOURSELVES IN POSITION. OUT.","FOXTROT, NETTOYEZ L'OBJECTIF AU PLUS VITE. PRENEZ POSITION. TERMINÉ.","FOXTROT, PROTEGED EL OBJETIVO, ES URGENTE. COLOCAOS EN POSICIÓN. CORTO.","FOXTROT, CONCENTRARSI SULL’OBIETTIVO. IN POSIZIONE! CHIUDO."
STRC_04r02,"ECHO TO FOXTROT. WE ARE IN POSITION.","ECHO À FOXTROT. NOUS SOMMES EN POSITION.","ECHO A FOXTROT. ESTAMOS EN POSICIÓN.","ECHO A FOXTROT. SIAMO IN POSIZIONE."
STRC_04r03,"GOLF TO FOXTROT. READY FOR ATTACK.","GOLF À FOXTROT. PRÊTS POUR L'ATTAQUE.","GOLF A FOXTROT. PREPARADOS PARA EL ATAQUE.","GOLF A FOXTROT. PRONTI AD ATTACCARE."
STRC_04r04,"FOXTROT TO ALL UNITS: GO, GO, GO!","FOXTROT À TOUTES UNITÉS : GO, GO, GO !","FOXTROT A TODAS LAS UNIDADES: ¡A LA CARGA!","FOXTROT A TUTTE LE UNITÀ: ORA!"
STRC_04r05,"SQUADS FOXTROT AND GOLF, THIS IS CROSSROAD! ENEMY FORCES RETREATING. COVER THE HILL TO THE SOUTH AND AWAIT FURTHER ORDERS. OUT.","GROUPES FOXTROT ET GOLF, ICI CROSSROAD ! LES FORCES ENNEMIES SE REPLIENT. COUVREZ LA COLLINE AU SUD ET ATTENDEZ LES ORDRES. TERMINÉ.","PELOTONES FOXTROT Y GOLF, ¡AQUÍ CROSSROAD! LAS FUERZAS ENEMIGAS SE RETIRAN. CUBRID LA COLINA POR EL SUR Y ESPERAD ÓRDENES. CORTO.","CROSSROAD ALLE SQUADRE FOXTROT E GOLF! IL NEMICO SI RITIRA. PROTEGGETE LA COLLINA A SUD E ASPETTATE ORDINI. CHIUDO."
STRC_04r06,"CROSSROAD TO ALL SQUADS. PROCEED ACCORDING TO MISSION PLAN!","CROSSROAD À TOUS LES GROUPES. SUIVEZ LE PLAN DE MISSION !","CROSSROAD A TODOS LOS PELOTONES. ¡SEGUID CON EL PLAN DE LA MISIÓN!","CROSSROAD A TUTTE LE SQUADRE. PROCEDETE SECONDO I PIANI!"
