LANGUAGE,"English","French","Spanish","Italian"


STR_M01_Name,"BIG BANG","BIG BANG","BIG BANG 1","BIG BANG"
STRD_M01_OnLoad,"The Exploding Ural theory","La théorie de l'explosion de l'Ural","La teoría del Ural explosivo","La teoria dell’esplosione degli Ural"
STRD_M01_Desc,"The Exploding Ural theory","La théorie de l'explosion de l'Ural","La teoría del Ural explosivo","La teoria dell’esplosione degli Ural"
STR_M01_END_1,"Mission completed","Mission accomplie","Misión cumplida","Missione completata"
STR_M01_END_2,"Mission failed","Échec de la mission","La misión ha fracasado","Missione fallita"
STR_M01h01,"Enemy is using the radio","L'ennemi emploie la radio","El enemigo está usando la radio","Il nemico sta usando la radio"
STR_M01h02,"Good work. You killed him in time.","Beaut travail. Vous l'avez tué à temps.","Buena suerte. Le has matado a tiempo.","Bel lavoro. L’hai ucciso in tempo."
STR_M01h03,"Enemy reinforcements are on the way. Run, run for your life!!!","Des renforts ennemis sont en chemin. Il faut fuir !","Los refuerzos enemigos van de camino. ¡¡Corre, sálvate!!","Rinforzi nemici in arrivo. Scappa, mettiti in salvo!!!"
STR_M01w1,"Find and Destroy","Recherche et destruction","Encontrar y destruir","Cerca e distruggi"
STR_M01w2,"Run to extraction point","Courir vers le point d'extraction","Correr al punto de extracción","Corri al punto d’estrazione"
