LANGUAGE,"English"


STRC_06v01,"\n\n\nI swear, right up until those Harriers came screaming\nin over our heads, I thought we were all dead."
STRC_06v02,"\n\n\nAs it was, most of us already were."
STRC_06v03,"\n\n\nThe reporter and her cameraman were KIA soon\nafter the shooting started."
STRC_06v04,"\n\n\nNo matter how much we shouted at them,\nthey kept standing right up there on the ridge."
STRC_06v05,"\n\n\nI’m sure they got some great footage."
STRC_06v06,"\n\n\nI finally got a night’s rest after that,\nbut we were up again at them the next day."
STRC_06v07,"\n\n\nColonel Davis, our new CO, led the counterattack,\nand we shoved the SLA straight back to Corazol. "
STRC_06v08,"\n\n\nNow we just need to dislodge them from there."
STRC_06v09,"\n\n\nI hear the NDR is finally talking with reporters."
STRC_06v10,"\n\n\nTorres, their prime minister, says he had good reasons\nfor ambushing American troops like that."
STRC_06v11,"\n\n\nI can’t wait to hear them."
