LANGUAGE,"English","French","Spanish","Italian"


STR_M17_Name,"The camp","Le campement","El campamento","Il campo"
STRD_M17_OnLoad,"Protect the US workers","Protéger les travailleurs américains","Protege a los trabajadores de EE.UU.","Proteggi i lavoratori americani"
STRD_M17_Desc,"Secure the US workers","Mettre en sûreté les travailleurs américains","Salvaguarda a los trabajadores de EE.UU.","Difendi i lavoratori americani"
STR_M17_END_1,"Mission completed","Mission accomplie","Misión cumplida","Missione completata"
STR_M17_END_2,"Mission failed","Échec de la mission","La misión ha fracasado","Missione fallita"
STR_M17w1,"Protect the engineers","Protéger les sapeurs","Protege a los ingenieros","Proteggi i genieri"
STR_M17w2,"Hold the camp","Tenir le campement","Mantén control del campamento","Difendi il campo"
STR_M17m1,"Camp location","Emplacement du campement","Situación del campamento","Area del campo"
STR_M17m2,"Boats","Bateaux","Barcas","Imbarcazioni"
STR_M17m3,"Possible attacks","Attaques possibles","Posibles ataques","Attacchi possibili"
