LANGUAGE,"English","French","Spanish","Italian"


STR_M13_NAME,"Direct Hit","Coup direct","Golpe directo","Colpo diretto"
STR_M13_OnLoad,"AT Saboteur in action","Saboteur antichar en action","Saboteador AT en acción","Sabotatori anticarro in azione"
STR_M13w1,"DESTROY ARMORED TARGETS","DÉTRUIRE LES CIBLES BLINDÉES","DESTRUYE LOS OBJETIVOS BLINDADOS","DISTRUGGI GLI OBIETTIVI BLINDATI"
STR_M13w2,"BACK TO THE BOAT","REVENIR AU BATEAU","DE VUELTA A LA BARCA","TORNA ALL’IMBARCAZIONE"
STR_M13w3,"TO THE AIRPORT","VERS L'AÉROPORT","AL AEROPUERTO","VERSO L’AEROPORTO"
STR_M13h1,"The last chance to get out of here is wasted. God be with you, soldier.","La dernière chance de quitter cet endroit s'est évanouie. Bonne chance, soldat.","Has perdido tu última oportunidad de salir de aquí. Que Dios se apiade de ti, soldado.","Non c’è più alcuna possibilità di fuga. Buona fortuna, soldato."
STR_M13h2,"Position of extraction point has been changed. Check the map.","L'emplacement du point d'extraction a été modifié. Vérifiez sur la carte.","Ha cambiado la posición del punto de extracción. Comprueba el mapa.","Il punto d’estrazione è cambiato. Controlla la mappa."
STR_M13h3,"Your boat has been destroyed. You can try looking for the chopper in camp two.","Le bateau a été détruit. Il y a un hélico au camp 2.","Tu barca ha sido destruida. Puedes buscar el helicóptero del campamento dos.","La tua imbarcazione è stata distrutta. Cerca l’elicottero nel campo 2."
STR_M13h4,"You ve found the secret documents.","Documents secrets trouvés.","Has encontrado los documentos secretos.","Hai trovato i documenti segreti."
STR_M13m1,"Insertion Point","Point d'insertion","Punto de inserción","Punto d’inserzione"
STR_M13m2,"Extraction Point","Point d'extraction.","Punto de extracción","Punto d’estrazione"
STR_M13m3,"Ammo Camps","Dépôts de munitions","Campamentos de munición","Depositi di munizioni"
STR_M13m4,"to optional quest","vers mission en option","a misión opcional","verso missione opzionale"
STR_M13m5,"Search for Secret documents","Chercher des documents secrets","Busca documentos secretos","Cerca i documenti segreti"
STR_M13m6,"DESTROY ARMORED UNITS","DÉTRUIRE LES UNITÉS BLINDÉES","DESTRUYE LAS UNIDADES BLINDADAS","DISTRUGGI LE UNITÀ BLINDATE"
STR_M13m7,"REINFORCEMENTS","RENFORTS","REFUERZOS","RINFORZI"
STR_M13m8,"BACKUP REINFORCEMENTS","RENFORTS SUPPLÉMENTAIRES","REFUERZOS DE APOYO","RINFORZI SUPPLEMENTARI"
STR_M13m9,"to main quest","vers mission principale","a la misión principal","verso missione principale"
STR_M13t1,"Mission Completed","Mission accomplie","Misión cumplida","Missione completata"
STR_M13t2,"Mission Failed","Échec de la mission","La misión ha fracasado","Missione fallita"
